Year,Units,Series,Value
1994,kilogram per hectare,moving five-year average shown for the last year,116.6
1995,kilogram per hectare,moving five-year average shown for the last year,111.0
1996,kilogram per hectare,moving five-year average shown for the last year,109.1
1997,kilogram per hectare,moving five-year average shown for the last year,107.5
1998,kilogram per hectare,moving five-year average shown for the last year,107.8
1999,kilogram per hectare,moving five-year average shown for the last year,108.7
2000,kilogram per hectare,moving five-year average shown for the last year,109.1
2001,kilogram per hectare,moving five-year average shown for the last year,107.9
2002,kilogram per hectare,moving five-year average shown for the last year,108.3
2003,kilogram per hectare,moving five-year average shown for the last year,107.8
2004,kilogram per hectare,moving five-year average shown for the last year,105.1
2005,kilogram per hectare,moving five-year average shown for the last year,102.5
2006,kilogram per hectare,moving five-year average shown for the last year,103.3
2007,kilogram per hectare,moving five-year average shown for the last year,102.2
2008,kilogram per hectare,moving five-year average shown for the last year,101.8
2009,kilogram per hectare,moving five-year average shown for the last year,99.1
2010,kilogram per hectare,moving five-year average shown for the last year,96.6
2011,kilogram per hectare,moving five-year average shown for the last year,96.8
2012,kilogram per hectare,moving five-year average shown for the last year,94.9
2013,kilogram per hectare,moving five-year average shown for the last year,93.0
2014,kilogram per hectare,moving five-year average shown for the last year,93.2
2015,kilogram per hectare,moving five-year average shown for the last year,95.6
2016,kilogram per hectare,moving five-year average shown for the last year,94.0
2017,kilogram per hectare,moving five-year average shown for the last year,93.8
2018,kilogram per hectare,moving five-year average shown for the last year,92.7
2019,kilogram per hectare,moving five-year average shown for the last year,91.5
2020,kilogram per hectare,moving five-year average shown for the last year,87.0
2030,kilogram per hectare,moving five-year average shown for the last year,
1990,kilogram per hectare,calculated annual values,141.5
1991,kilogram per hectare,calculated annual values,117.1
1992,kilogram per hectare,calculated annual values,111.9
1993,kilogram per hectare,calculated annual values,106.3
1994,kilogram per hectare,calculated annual values,106.3
1995,kilogram per hectare,calculated annual values,113.2
1996,kilogram per hectare,calculated annual values,107.7
1997,kilogram per hectare,calculated annual values,104.0
1998,kilogram per hectare,calculated annual values,107.8
1999,kilogram per hectare,calculated annual values,111.0
2000,kilogram per hectare,calculated annual values,115.3
2001,kilogram per hectare,calculated annual values,101.7
2002,kilogram per hectare,calculated annual values,105.8
2003,kilogram per hectare,calculated annual values,105.4
2004,kilogram per hectare,calculated annual values,97.3
2005,kilogram per hectare,calculated annual values,102.4
2006,kilogram per hectare,calculated annual values,105.7
2007,kilogram per hectare,calculated annual values,100.4
2008,kilogram per hectare,calculated annual values,103.2
2009,kilogram per hectare,calculated annual values,83.7
2010,kilogram per hectare,calculated annual values,90.3
2011,kilogram per hectare,calculated annual values,106.2
2012,kilogram per hectare,calculated annual values,91.0
2013,kilogram per hectare,calculated annual values,93.6
2014,kilogram per hectare,calculated annual values,84.8
2015,kilogram per hectare,calculated annual values,102.1
2016,kilogram per hectare,calculated annual values,98.5
2017,kilogram per hectare,calculated annual values,90.0
2018,kilogram per hectare,calculated annual values,87.9
2019,kilogram per hectare,calculated annual values,78.7
2020,kilogram per hectare,calculated annual values,79.7
2030,kilogram per hectare,calculated annual values,
