Year,Units,display,Bundesland,GeoCode,Value
2005,percentage (%),a) time series,a) germany (total),,7.10
2006,percentage (%),a) time series,a) germany (total),,8.40
2007,percentage (%),a) time series,a) germany (total),,10.20
2008,percentage (%),a) time series,a) germany (total),,10.10
2009,percentage (%),a) time series,a) germany (total),,10.70
2010,percentage (%),a) time series,a) germany (total),,11.40
2011,percentage (%),a) time series,a) germany (total),,12.50
2012,percentage (%),a) time series,a) germany (total),,13.60
2013,percentage (%),a) time series,a) germany (total),,13.80
2014,percentage (%),a) time series,a) germany (total),,14.30
2015,percentage (%),a) time series,a) germany (total),,15.20
2016,percentage (%),a) time series,a) germany (total),,14.90
2017,percentage (%),a) time series,a) germany (total),,16.00
2018,percentage (%),a) time series,a) germany (total),,16.80
2019,percentage (%),a) time series,a) germany (total),,17.70
2020,percentage (%),a) time series,a) germany (total),,19.70
2021,percentage (%),a) time series,a) germany (total),,19.20
2020,percentage (%),b) target (min),a) germany (total),,18.00
2030,percentage (%),b) target (min),a) germany (total),,30.00
2040,percentage (%),b) target (min),a) germany (total),,45.00
2050,percentage (%),b) target (min),a) germany (total),,60.00
2005,percentage (%),a) time series,bw,code08,6.87
2006,percentage (%),a) time series,bw,code08,8.39
2007,percentage (%),a) time series,bw,code08,9.65
2008,percentage (%),a) time series,bw,code08,9.39
2009,percentage (%),a) time series,bw,code08,9.90
2010,percentage (%),a) time series,bw,code08,11.32
2011,percentage (%),a) time series,bw,code08,11.42
2012,percentage (%),a) time series,bw,code08,12.54
2013,percentage (%),a) time series,bw,code08,12.60
2014,percentage (%),a) time series,bw,code08,13.13
2015,percentage (%),a) time series,bw,code08,12.96
2016,percentage (%),a) time series,bw,code08,13.41
2017,percentage (%),a) time series,bw,code08,13.66
2018,percentage (%),a) time series,bw,code08,15.62
2019,percentage (%),a) time series,bw,code08,15.65
2005,percentage (%),a) time series,by,code09,8.59
2006,percentage (%),a) time series,by,code09,9.50
2007,percentage (%),a) time series,by,code09,10.46
2008,percentage (%),a) time series,by,code09,10.12
2009,percentage (%),a) time series,by,code09,10.80
2010,percentage (%),a) time series,by,code09,14.62
2011,percentage (%),a) time series,by,code09,15.51
2012,percentage (%),a) time series,by,code09,17.80
2013,percentage (%),a) time series,by,code09,18.34
2014,percentage (%),a) time series,by,code09,18.41
2015,percentage (%),a) time series,by,code09,19.10
2016,percentage (%),a) time series,by,code09,19.83
2017,percentage (%),a) time series,by,code09,20.31
2018,percentage (%),a) time series,by,code09,21.17
2019,percentage (%),a) time series,by,code09,20.68
2005,percentage (%),a) time series,be,code11,1.25
2006,percentage (%),a) time series,be,code11,1.93
2007,percentage (%),a) time series,be,code11,2.35
2008,percentage (%),a) time series,be,code11,1.64
2009,percentage (%),a) time series,be,code11,2.17
2010,percentage (%),a) time series,be,code11,2.84
2011,percentage (%),a) time series,be,code11,3.28
2012,percentage (%),a) time series,be,code11,3.36
2013,percentage (%),a) time series,be,code11,3.56
2014,percentage (%),a) time series,be,code11,3.36
2015,percentage (%),a) time series,be,code11,3.58
2016,percentage (%),a) time series,be,code11,3.48
2017,percentage (%),a) time series,be,code11,3.74
2018,percentage (%),a) time series,be,code11,4.13
2005,percentage (%),a) time series,bb,code12,9.77
2006,percentage (%),a) time series,bb,code12,16.29
2007,percentage (%),a) time series,bb,code12,20.96
2008,percentage (%),a) time series,bb,code12,20.96
2009,percentage (%),a) time series,bb,code12,22.28
2010,percentage (%),a) time series,bb,code12,23.55
2011,percentage (%),a) time series,bb,code12,26.24
2012,percentage (%),a) time series,bb,code12,22.17
2013,percentage (%),a) time series,bb,code12,22.87
2014,percentage (%),a) time series,bb,code12,23.66
2015,percentage (%),a) time series,bb,code12,25.90
2016,percentage (%),a) time series,bb,code12,24.38
2017,percentage (%),a) time series,bb,code12,27.20
2018,percentage (%),a) time series,bb,code12,27.98
2005,percentage (%),a) time series,hb,code04,2.08
2006,percentage (%),a) time series,hb,code04,2.59
2007,percentage (%),a) time series,hb,code04,2.72
2008,percentage (%),a) time series,hb,code04,2.72
2009,percentage (%),a) time series,hb,code04,2.93
2010,percentage (%),a) time series,hb,code04,3.24
2011,percentage (%),a) time series,hb,code04,3.54
2012,percentage (%),a) time series,hb,code04,3.72
2013,percentage (%),a) time series,hb,code04,4.32
2014,percentage (%),a) time series,hb,code04,5.06
2015,percentage (%),a) time series,hb,code04,4.60
2016,percentage (%),a) time series,hb,code04,4.21
2017,percentage (%),a) time series,hb,code04,4.48
2018,percentage (%),a) time series,hb,code04,5.23
2019,percentage (%),a) time series,hb,code04,5.37
2005,percentage (%),a) time series,hh,code02,2.31
2006,percentage (%),a) time series,hh,code02,3.90
2007,percentage (%),a) time series,hh,code02,4.57
2008,percentage (%),a) time series,hh,code02,4.07
2009,percentage (%),a) time series,hh,code02,4.63
2010,percentage (%),a) time series,hh,code02,4.19
2011,percentage (%),a) time series,hh,code02,4.52
2012,percentage (%),a) time series,hh,code02,4.62
2013,percentage (%),a) time series,hh,code02,4.48
2014,percentage (%),a) time series,hh,code02,4.88
2015,percentage (%),a) time series,hh,code02,4.93
2016,percentage (%),a) time series,hh,code02,4.70
2017,percentage (%),a) time series,hh,code02,4.89
2018,percentage (%),a) time series,hh,code02,5.56
2005,percentage (%),a) time series,he,code06,4.26
2006,percentage (%),a) time series,he,code06,5.29
