Year,Units,display,title,Value
1991,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-3.200
1992,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-2.600
1993,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-3.100
1994,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-2.500
1995,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-9.400
1996,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-3.600
1997,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-2.900
1998,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-2.600
1999,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-1.700
2000,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-1.600
2001,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-3.000
2002,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-3.900
2003,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-3.700
2004,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-3.300
2005,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-3.300
2006,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-1.700
2007,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),0.300
2008,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-0.100
2009,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-3.200
2010,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-4.400
2011,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-0.900
2012,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),0.000
2013,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),0.000
2014,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),0.600
2015,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),1.000
2016,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),1.200
2017,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),1.300
2018,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),1.900
2019,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),1.500
2020,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-4.300
2021,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-3.700
1991,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.000
1992,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.000
1993,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.000
1994,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.000
1995,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.000
1996,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.000
1997,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.000
1998,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.000
1999,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.000
2000,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.000
