Year,Units,display,Value
2005,percentage (%),b) target (max),60.0
2006,percentage (%),b) target (max),60.0
2007,percentage (%),b) target (max),60.0
2008,percentage (%),b) target (max),60.0
2009,percentage (%),b) target (max),60.0
2010,percentage (%),b) target (max),60.0
2011,percentage (%),b) target (max),60.0
2012,percentage (%),b) target (max),60.0
2013,percentage (%),b) target (max),60.0
2014,percentage (%),b) target (max),60.0
2015,percentage (%),b) target (max),60.0
2016,percentage (%),b) target (max),60.0
2017,percentage (%),b) target (max),60.0
2018,percentage (%),b) target (max),60.0
2019,percentage (%),b) target (max),60.0
2030,percentage (%),b) target (max),60.0
1991,percentage (%),a) time series,39.0
1992,percentage (%),a) time series,41.5
1993,percentage (%),a) time series,45.1
1994,percentage (%),a) time series,47.5
1995,percentage (%),a) time series,54.9
1996,percentage (%),a) time series,57.8
1997,percentage (%),a) time series,58.9
1998,percentage (%),a) time series,59.5
1999,percentage (%),a) time series,60.4
2000,percentage (%),a) time series,59.3
2001,percentage (%),a) time series,58.2
2002,percentage (%),a) time series,59.9
2003,percentage (%),a) time series,63.5
2004,percentage (%),a) time series,65.2
2005,percentage (%),a) time series,67.5
2006,percentage (%),a) time series,66.9
2007,percentage (%),a) time series,64.2
2008,percentage (%),a) time series,65.7
2009,percentage (%),a) time series,73.2
2010,percentage (%),a) time series,82.0
2011,percentage (%),a) time series,79.4
2012,percentage (%),a) time series,80.7
2013,percentage (%),a) time series,78.3
2014,percentage (%),a) time series,75.3
2015,percentage (%),a) time series,71.9
2016,percentage (%),a) time series,69.0
2017,percentage (%),a) time series,64.6
2018,percentage (%),a) time series,61.2
2019,percentage (%),a) time series,58.9
2020,percentage (%),a) time series,68.7
2021,percentage (%),a) time series,69.3
