Year,Units,Series,Zeitreihe,Bereich,Rohstoffkategorie,Kategorie der letzten Verwendung,Value
2010,2010 = 100,Indikator: Gesamtrohstoffproduktivität,Gesamtrohstoffproduktivität,,,,100.0
2011,2010 = 100,Indikator: Gesamtrohstoffproduktivität,Gesamtrohstoffproduktivität,,,,97.4
2012,2010 = 100,Indikator: Gesamtrohstoffproduktivität,Gesamtrohstoffproduktivität,,,,101.7
2013,2010 = 100,Indikator: Gesamtrohstoffproduktivität,Gesamtrohstoffproduktivität,,,,101.7
2014,2010 = 100,Indikator: Gesamtrohstoffproduktivität,Gesamtrohstoffproduktivität,,,,102.6
2015,2010 = 100,Indikator: Gesamtrohstoffproduktivität,Gesamtrohstoffproduktivität,,,,106.8
2016,2010 = 100,Indikator: Gesamtrohstoffproduktivität,Gesamtrohstoffproduktivität,,,,106.0
2017,2010 = 100,Indikator: Gesamtrohstoffproduktivität,Gesamtrohstoffproduktivität,,,,109.4
2018,2010 = 100,Indikator: Gesamtrohstoffproduktivität,Gesamtrohstoffproduktivität,,,,109.4
2019,2010 = 100,Indikator: Gesamtrohstoffproduktivität,Gesamtrohstoffproduktivität,,,,112.8
2020,2010 = 100,Indikator: Gesamtrohstoffproduktivität,Gesamtrohstoffproduktivität,,,,112.0
2021,2010 = 100,Indikator: Gesamtrohstoffproduktivität,Gesamtrohstoffproduktivität,,,,114.5
2030,2010 = 100,Indikator: Gesamtrohstoffproduktivität,Gesamtrohstoffproduktivität,,,,
2010,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,,,100.0
2011,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,,,105.0
2012,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,,,105.0
2013,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,,,106.7
