Year,Value,Units,Series
2010,2614.0,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz
2011,2803.0,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz
2012,2697.0,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz
2013,2726.0,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz
2014,2773.0,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz
2015,2736.0,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz
2016,2844.0,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz
2017,2851.0,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz
2018,2899.0,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz
2019,2858.0,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz
2020,2741.0,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz
2021,2794.0,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz
2030,,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz
